,弹幕内容
821,俺也一样
822,前方名场面。要求全文背诵
823,好多人啊
824,栏杆“NMH哦”
825,俺也一样！
826,以德服人
827,合影
828,惟贤惟德，能服于人
829,俺也一样
830,我想起了糜竺
831,老艺术家了
832,来了来了，小破站牛逼
833,俺也一样
834,张家庄？
835,要来了
836,ohhhhhhhuhuuhu!
837,那，上好的豆粉，买些吧
838,爷青回
839,小手一抖，op没有的拉出去斩了
840,得民心得天下啊
841,开局抽两个SSR的刘备
842,织席贩履小儿
843,憨憨，hhhhhh
844,创业才是王道
845,哼╯^╰
846,梦开始的地方
847,真的三爷挺可爱的
848,他人======》刘备
849,督邮真的演的很好啊
850,俺也一样
851,俺也一样
852,刘备：汉失其鹿，天下群雄可共逐之
853,扫荡腿
854,无中生有！
855,磨豆子咯
856,先编个牛逼的出身 再创业！
857,以我之真气合天地之造化
858,俺也一样！
859,父
860,俺也一样
861,卢植那段剪了
862,不才 正是在下
863,传销入伙
864,俺也一样
865,父兵诛卓起长沙，直取江东做帝家
866,460
867,二爷绿豆，三爷豆粉，品牌经济啊
868,啊哈哈哈哈哈哈
869,俺也一样
870,这TM十岁？
871,关羽“我没钱”
872,张飞还挺有钱
873,织席贩履
874,俺也一样
875,不如我们结为安达？
876,演技牛啊
877,朱苏进进来挨打
878,俺也一样
879,ssrX2 get
880,俺也一样
881,青龙偃月刀！
882,卧槽
883,俺也一样
884,父兵诛卓起长沙，直取江东做帝家
885,俺也一样
886,俺也一样
887,全是小孩子
888,打呀打呀
889,鹅鹅鹅
890,666
891,俺也一样
892,复读机？
893,怎么就3d了
894,俺也一样
895,哼(￣^￣)
896,俺也一样
897,神器铸造厂？
898,汉武大帝
899,有些人死活不要脸
900,每次都看哭
901,俺也一样
902,一个唱红脸，一个唱黑脸
903,青龙偃月刀和丈八蛇矛怎么出来的？
904,富人税
905,俺也一样
906,人家说啥你信啥。。。
907,雌雄双股剑就不说了
908,皇叔还是有眼光
909,我信你个鬼，三国完
910,都是水
911,哈哈哈哈哈哈
912,楼桑少年
913,蒋干的配音！！
914,鞭打督邮
915,黄祖“看我拔了江东猛虎的牙给你们康康”
916,破壁机
917,合影留念
918,杨慎牛逼
919,不配拥有姓名
920,民风淳朴
921,刘大力
922,卑职？
923,我是白嫖狂魔刘备
924,截屏啊
925,马加鸡腿
926,俺也一样
927,俺也一样
928,总感觉串戏到隔壁水浒了
929,董卓那斯
930,爱情开始的地方
931,这扇子真别致
932,苍天已死黄天当立！
933,开局3个SSR
934,俺也一样
935,百姓：MDZZ
936,没背景没靠山。。
937,历史上督邮是刘备打的，这里是为了突出张飞的性格
938,给钱
939,下次一定
940,大魏正统！！！
941,刘备看人的功力可是比诸葛亮还nb的
942,终于回来了
943,开始洗脑
944,俺也一样
945,骆宾王？
946,白的闯江湖肯定拜关二爷叭
947,三国！！！！！！
948,俺也一样
949,爱了爱了
950,第一集:俺也一样
951,经典既是神作
952,俺也一样
953,NB
954,就是你说的
955,第一集:俺也一样
956,二爷这身衣服怎么有点像厨子啊
957,合资
958,俺也一样
959,暗示投币
960,白给
961,跳op的你是认真的吗
962,哈哈哈哈哈刘备厉害
963,啊这，，，，
964,合影
965,牛壁
966,巡视组
967,督邮怕不是挨不住你一拳哦
968,忽悠成功
969,俺也一样
970,哼~
971,战术前摇
972,建议改成：民 主 起 源
973,俺也一样
974,留名
975,留名
976,牛逼
977,俺也一样  
978,小破站nb
979,俺也一样
980,曹操复姓皇甫 汉末名将皇甫嵩可是曹操本家
981,这三兄弟是真的兄弟
982,侮辱！
983,还于旧都
984,哈哈哈哈哈哈哈哈哈
985,巡视组回头看？哈哈
986,哈哈哈哈哈哈哈哈哈
987,高清
988,平原县令来了
989,敏敏唱的
990,骗钱
991,杨洪基开头 毛阿敏结尾
992,拍得太好了，没有一丝累赘
993,不愧是武圣
994,这
995,爷青回
996,骑马与砍杀
997,职测题
998,曹老板
999,超世之杰
1000,俺也一样
1001,开哭
1002,董贼
1003,血色残阳
1004,哈哈哈哈哈哈
1005,二爷做派确实是黑社会行径
1006,xgnb
1007,默哀
1008,俺也一样
1009,俺也一样
1010,张飞穿的真好
1011,哈哈哈哈哈哈哈哈哈
1012,起飞
1013,张飞果然有钱，穿的好
1014,无中生友
1015,牛逼！
1016,牙好白啊！
1017,破站我爱你
1018,暗示投币？
1019,刘老大开始诓人了
1020,下次一定
1021,村干部
1022,武力值max
1023,下次一定
1024,这届百姓是我带过的最差的一届！
1025,二爷豪迈！
1026,原来看戏能拿好处，怪不得几千年了中国人喜欢看戏
1027,可能是斗转星移
1028,和帝命太短了，其实哎
1029,买秘籍吗
1030,三天之内……
1031,前方高能
1032,名场面来了
1033,画质感人
1034,俺也一样
1035,创业
1036,呼风唤雨，驱雷掣电!!!
1037,暗示投币
1038,合影
1039,俺也一样
1040,俺也一样
1041,俺也一样
1042,合影
1043,我想吃刘备旁边的那块肉
1044,买秘籍吗
1045,没人吃狗？
1046,6666
1047,泪目
1048,请开始你的表演
1049,b站nb
1050,正道的光
1051,俺也一样
1052,全文背诵
1053,合影
1054,最富的就是燕人张飞
1055,名场面预警
1056,小破站nb
1057,正是在下
1058,还在嘴硬
1059,为什么我排老三？张飞
1060,这滤镜可以啊
1061,俺也一样
1062,上套了
1063,鄙人姓川，名朗普，字建国
1064,装一下深沉
1065,开始演了
1066,哎哎哎
1067,刘皇叔
1068,开始装逼了
1069,俺也一样！
1070,关公
1071,我有一个朋友
1072,备备流泪我也快哭了，演技太好了
1073,张翼德
1074,俺也一样
1075,织席贩履之辈
1076,破站牛逼
1077,世界名画
1078,2020年了还搁这张飞美男子呢 哪本史书详细描写张飞相貌请你找出来好吗 还不是地摊文 你说不是就不是了 笑死
1079,                      梅开二度
1080,俺也一样
1081,刘肇
1082,心疼绿豆，希望绿豆没事
1083,都是实诚人啊
1084,杀猪的
1085,空手套白狼
1086,这肉是假的吧
1087,太有历史感了
1088,读书的重要性
1089,俺也一样
1090,刘备偷玉米可是曹操拿50块钱赎回来的
1091,6
1092,沙包大的拳头
1093,亲币懂
1094,打架了打架了
1095,卧槽
1096,张让
1097,我去城外溜溜督邮
1098,张飞这时候据说才15岁吧
1099,俺也一样
1100,关公脸红了
1101,反了反了
1102,都是逃犯
1103,疯狂暗示
1104,疯狂暗示
1105,疯狂暗示
1106,疯狂暗示
1107,天啊，三国也有？！！
1108,可惜刘备有了阿斗这个废物
1109,你说啥 没听懂
1110,皇叔话术了得
1111,厉害
1112,俺也一样
1113,我真哭了
1114,阙勒霍多
1115,财 神 爷
1116,杀
1117,来来来让我卖个关子
1118,俺也一样
1119,这句话一出，果然差不多时候死
1120,真张三
1121,关爷大气
1122,拉风投
1123,张飞可是富户。。投军真是下大决心
1124,冲帝 -- -
1125,大耳仔!
1126,360P画质才是灵魂
1127,俺也一样
1128,确认过眼神，遇上对的人！
1129,牛逼啊
1130,俺也一样
1131,俺也一样
1132,俺也一样
1133,吾乃中山靖王之后
1134,刘备：干啥啥不行 抽卡第一名
1135,俺也一样
1136,俺也一样！
1137,俺也一样！！！    俺也一样！！！
1138,正是在下
1139,张飞最亏，出人出钱，还落个小。
1140,接下来就是见证奇迹的时刻
1141,。
1142,28真年轻
1143,PDD
1144,该拜二哥了
1145,俺也一样
1146,哈哈哈哈哈
1147,眼泪说来就来！
1148,正道的光
1149,以我之真气，得天地之造化!
1150,二爷豪横！
1151,经典
1152,情头
1153,跟我混
1154,鬼道莫测，变幻无穷
1155,俺也一样
1156,张飞也是文化人
1157,刘备的梦想可大多了
1158,+1
1159,+10086
1160,陈诺分成
1161,真·空手套白狼
1162,手磨豆浆
1163,卖官鬻爵
1164,替我挡着
1165,《格局》
1166,拜关公
1167,史   上   最   强    番
1168,弹幕警告
1169,B站牛逼
1170,来了来了
1171,史  上   最  强  番
1172,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈或
1173,哈哈哈哈哈哈哈1
1174,名场面
1175,48吧
1176,颜值上限
1177,警钟肉
1178,危
